material,number_of_elements,critical_temp
Pb2Sr2Y0.5Ca0.5Cu3F0.8115O7.3458,7,78.0
Pb2Sr2Y0.5Ca0.5Cu3F1.0031O7.2608,7,73.0
Pb0.5Cd0.5La1Sr1Cu1O5,6,35.0
Pb0.5Cd0.5La0.9Sr1.1Cu1O5,6,12.0
Pb0.5Cd0.5La1.1Sr0.9Cu1O5,6,37.0
Nd0.33Eu0.33Gd0.33Ba2Cu3O,6,94.1
Nd0.33Sm0.33Gd0.33Ba2Cu3O,6,93.1
Nd0.33Sm0.33Eu0.33Ba2Cu3O,6,95.3
Sm0.33Eu0.33Gd0.33Ba2Cu3O,6,93.1
La0.7Pr0.3Ca1Ba1Cu3O7,6,40.0
Nd1Ba2Cu3O7,4,96.0
Pr1.79Ce0.15Sr0.06Cu1O3.94,5,21.0
Pr1.74Ce0.15Sr0.11Cu1O3.96,5,18.0
Pr1.9Ce0.1Cu1O3.98,4,9.0
Pr1.87Ce0.13Cu1O3.99,4,16.0
Bi2Sr2Ca1Cu2Zn0.03C0.96H0.48N0.24O,9,61.6
Bi2Sr2Ca1Cu2Zn0.035C1.12H0.56N0.28O,9,60.6
Bi2Sr2Ca1Cu2Zn0.05C1.6H0.8N0.4O,9,55.5
Bi2Sr2Ca1Cu2Zn0.067C2.144H1.072N0.536O,9,45.3
Pr1.85Ce0.15Cu1O3.98,4,18.0
Pr1.83Ce0.17Cu1O3.99,4,13.0
Y1La0.2Ba1.8Cu3O7.06,5,48.9
Y1La0.2Ba1.8Cu3O7.16,5,61.7
Y1La0.2Ba1.8Cu3O7.26,5,67.6
Y1La0.2Ba1.8Cu3O7.36,5,89.1
Y1La0.2Ba1.8Cu3O7.46,5,89.8
Y1La0.2Ba1.8Cu3O7.49,5,90.4
Y1La0.2Ba1.8Cu3O7.57,5,89.6
Y1La0.2Ba1.8Cu3O7.62,5,87.9
Y1La0.2Ba1.8Cu3O7.64,5,88.1
Y1La0.2Ba1.8Cu3O7.74,5,89.1
Y1La0.2Ba1.8Cu3O7.77,5,89.8
Y1La0.2Ba1.8Cu3O7.79,5,90.4
La1.2Ba1.8Cu3O7.2,4,27.0
La1.2Ba1.8Cu3O7.3,4,27.0
Y0.8Pr0.2Ba2Cu3O7,5,58.7
Y0.8Pr0.2Ba2Cu3O7.1,5,57.6
Y0.8Pr0.2Ba2Cu3O7.2,5,63.3
Y0.8Pr0.2Ba2Cu3O7.3,5,62.6
Y0.8Pr0.2Ba2Cu3O7.4,5,59.8
Y0.8Pr0.2Ba2Cu3O7.5,5,62.9
Y0.8Pr0.2Ba2Cu3O7.55,5,68.3
Y0.8Pr0.2Ba23O7.6,4,66.5
Y0.8Pr0.2Ba2Cu3O7.65,5,66.5
Y0.8Pr0.2Ba2Cu3O7.67,5,67.5
Y0.8Pr0.2Ba2Cu3O7.79,5,65.4
Y0.8Pr0.2Ba2Cu3O8.04,5,64.4
Y0.8Pr0.2Ba2Cu3O8.06,5,65.8
Pb1.75Ca0.2Y1Sr2Cu3O8,6,45.0
Pb1.75Ca0.2Y1Sr2Cu2.85Cr0.15O8,7,35.0
Pb1.75Ca0.2Y0.8Sr2Cu3O8,6,75.0
Pb1.75Ca0.2Y0.8Sr2Cu2.85Cr0.15O8,7,65.0
Y1Ba2Cu3O,4,90.1
Y0.9Ca0.1Ba2Cu3O,5,85.2
Y0.8Ca0.2Ba2Cu3O,5,80.9
Y1Ba2Cu3O,4,63.1
Y0.9Ca0.1Ba2Cu3O6.5,5,79.3
Y0.8Ca0.2Ba2Cu3O,5,77.5
Y0.8Ca0.2Ba2Cu3O6.5,5,84.8
Y0.9Ca0.1Ba2Cu3O6.03,5,19.8
Y0.8Ca0.2Ba2Cu3O6.03,5,43.5
Hg0.65V0.35Sr2Ca0.45Nd0.55Cu2O,7,55.0
Hg0.65V0.35Sr2Ca0.55Nd0.45Cu2O6.8,7,67.0
Hg0.65V0.35Sr2Ca0.65Nd0.35Cu2O,7,81.5
Hg0.65V0.35Sr2Ca0.75Nd0.25Cu2O,7,89.0
Hg1Ba2Cu1O4,4,91.0
Hg1Ba2Cu1O4,4,35.0
Hg1Ba2Ca1Cu2O6,5,120.0
Hg1Ba2Ca2Cu3O8,5,115.0
Hg1Ba2Cu1FO4,5,97.0
Hg1Ba2Ca1Cu2FO6,6,128.0
Hg1Ba2Ca2Cu3FO8,6,135.0
Hg1Ba2Ca3Cu4O,5,111.0
Hg1Ba2Ca3Cu4FO,6,114.0
Hg1Ba2Ca4Cu5O,5,98.0
Hg1Ba2Ca4Cu5FO,6,109.0
Tl1Ba2Ca2Cu3O9,5,110.0
Tl0.8Bi0.2Ba2Ca2Cu3O9,6,116.0
Sr2Cu1O3.1,3,70.0
Sr3Cu2O5,3,100.0
Bi2Sr2Cu1O,4,15.5
Y1Ba2Cu3O8,4,93.0
Y1Ba1.95Nd0.05Cu3O,5,92.5
Y1Ba1.9Nd0.1Cu3O,5,93.0
Y1Ba1.85Nd0.15Cu3O,5,92.0
Y1Ba1.8Nd0.2Cu3O,5,92.0
Y1Ba1.75Nd0.25Cu3O,5,93.0
Y1Ba1.7Nd0.3Cu3O,5,85.0
Y1Ba1.65Nd0.35Cu3O,5,88.0
Y1Ba1.6Nd0.4Cu3O,5,86.0
Y1Ba1.5Nd0.5Cu3O,5,30.0
Sr2.1Ca0.9Cu2O5,4,100.0
Hg1Ba2Ca2Cu3O,5,110.3
Hg1Ba2Ca2Cu3O,5,126.0
Hg1Ba2Ca2Cu3F0.1O,6,127.4
Hg1Ba2Ca2Cu3F0.2O,6,128.4
Hg1Ba2Ca2Cu3Fe0.3O,6,128.5
Tm1.83Ca0.17Cu1O4,4,30.0
Ba0.9K0.1Pb1O3,4,30.0
La1.85Sr0.15Cu1O4,4,36.5
La1.85Sr0.15Cu0.98Li0.02O4,5,36.5
La1.85Sr0.15Cu0.97Li0.03O4,5,33.5
La1.85Sr0.15Cu0.95Li0.05O4,5,27.2
Nd2Cu1O4,3,27.0
Nd2Cu1F0.22O3.78,4,24.5
Nd2Cu1F0.24O3.76,4,27.0
Pb0.6Cu0.4Sr1La1Cu1O5.05,5,37.6
Pb0.6Cu0.4Sr1La1Cu1O5.06,5,37.8
Pb0.6Cu0.4Sr1La1Cu1O5.09,5,36.7
Pb0.6Cu0.4Sr1La1Cu1O5.12,5,35.9
Pb0.6Cu0.4Sr1La1Cu1O5.15,5,32.0
Pb0.6Cu0.4Sr1La1Cu1O5.19,5,25.1
Pb0.6Cu0.4Sr1La1Cu1O5.21,5,25.1
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.07,5,33.9
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.12,5,31.0
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.18,5,28.0
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.19,5,25.0
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.06,5,28.7
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.11,5,34.8
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.29,5,25.2
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.28,5,28.1
Pb0.6Cu0.4Sr0.9La1.1Cu1O5.06,5,37.6
Pb0.6Cu0.4Sr0.9La1.1Cu1O5.18,5,31.6
Pb0.6Cu0.4Sr0.9La1.1Cu1O5.24,5,27.8
Pb0.5Cu0.5Sr1La1Cu1O5.03,5,36.7
Pb0.5Cu0.5Sr1La1Cu1O5.05,5,36.7
Pb0.5Cu0.5Sr1La1Cu1O5.1,5,31.9
Pb0.5Cu0.5Sr1La1Cu1O5.15,5,28.0
Pb0.5Cu0.5Sr1La1Cu1O5.19,5,24.1
Pb0.5Cu0.5Sr0.8La1.2Cu1O5.01,5,38.7
Pb0.5Cu0.5Sr0.8La1.2Cu1O5.1,5,34.9
Pb0.5Cu0.5Sr0.8La1.2Cu1O5.16,5,28.0
Pb0.5Cu0.5Sr0.8La1.2Cu1O5.25,5,25.2
Pb0.5Cu0.5Sr0.9La1.1Cu1O5.02,5,38.5
Pb0.5Cu0.5Sr0.9La1.1Cu1O5.08,5,37.7
Pb0.5Cu0.5Sr0.9La1.1Cu1O5.16,5,28.1
Pb0.5Cu0.5Sr0.9La1.1Cu1O5.22,5,24.9
Hg1Ba2Ca2Cu3Fe0.5O,6,128.2
Hg1Ba2Ca2Cu3Fe0.6O,6,130.0
Hg1Ba2Ca2Cu3Fe0.8O,6,128.4
Hg1Ba2Ca2Cu3Fe1O,6,125.2
Ba1.6Sr0.4Yb1Cu3O6.96,5,82.0
Ba1.6Sr0.4Yb1Cu3O6.8,5,81.0
Ba1.6Sr0.4Yb1Cu3O6.75,5,60.0
Ba1.6Sr0.4Yb1Cu3O6.64,5,47.0
Ba1.6Sr0.4Yb1Cu3O6.53,5,34.0
Ba1.6Sr0.4Yb1Cu3O6.48,5,10.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.8,6,80.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.76,6,80.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.58,6,55.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.56,6,30.0
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.83,6,76.0
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.6,6,61.0
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.36,6,19.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.68,6,74.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.51,6,66.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.3,6,34.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.19,6,25.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.19,6,23.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6,6,22.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.63,6,77.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.53,6,78.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.52,6,79.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.45,6,73.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu2O6.4,6,61.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.28,6,51.0
Ba1.6Sr0.4Yb0.8Ca0.2Cu3O6.04,6,13.0
Ba1.6Sr0.4Yb0.7Ca0.3Cu3O6,6,41.0
Cu1Ba1.6Sr0.4Yb0.65Ca0.35Cu2O6.15,6,48.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.15,6,49.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.04,6,50.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.61,6,76.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.36,6,75.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.25,6,53.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.14,6,47.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.14,6,46.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.04,6,47.0
Hg0.75Ba2.07Ca2.07Cu3.11O8.136,5,132.9
Hg0.92Ba2.05Cu1.03O4.044,4,90.7
Bi2Sr2Ca1Cu1.95K0.5O8,6,85.0
Bi2Sr2Ca1Cu1.4K0.6O8,6,87.0
Bi2Sr2Ca1Cu1.3K0.7O8,6,93.0
Hg1Ba2Ca4Cu5O,5,100.0
Hg1Ba2Ca4Cu5O,5,85.0
Hg1Ba2Ca4Cu5O,5,106.0
Hg1Ba2Ca4Cu5O,5,111.0
Hg1Ba2Ca3Cu4O,5,116.0
Hg1Ba2Ca3Cu4O,5,95.0
Hg1Ba2Ca3Cu4O,5,125.0
Y0.74Ca0.16Sr2.1Cu2.78S0.22O7,6,25.0
Y1Ca1Ba4Cu5N0.3C0.7O14,7,82.0
Tl0.5Bi0.5Sr4Cu2C1O10,6,55.0
Tl0.5Bi0.5Sr4Cu2C1O10,6,52.0
Tl0.7Bi0.3Sr4Cu2C1O10,6,50.0
Tl0.7Bi0.3Sr4Cu2C1O10,6,48.0
Bi2Sr4Cu2C1O11,5,30.0
Tl0.5Pb0.5Sr4Cu2C7.75O23.25,6,23.0
Tl0.5Pb0.5Sr4Cu2C7.75O23.25,6,63.0
Tl0.5Pb0.5Sr4Cu2C7O21,6,60.0
Tl0.5Pb0.5Sr4Cu2C7O21,6,70.0
Ba1.1Sr0.9Cu1.1C0.9O4.9,5,26.0
Y1Sr1Ba1Cu2.75B0.25O,6,35.0
Y0.5Ca0.5Sr1Ba1Cu2.75B0.25O,7,50.0
Bi2Sr4Cu2C1O11,5,32.0
Y0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,79.0
Pr0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,30.0
Nd0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,74.0
Sm0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,77.0
Eu1.5Pr0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,78.0
Gd0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,78.0
Dy0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,78.0
Ho0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,79.0
Er0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,80.0
Tm0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,79.0
Yb0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,78.0
Lu0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,7,77.0
Y0.74Ca0.16Sr2.1Cu2.78S0.22O7,6,34.9
Y0.74Ca0.16Sr1.6Ba0.5Cu2.78S0.22O7,7,54.9
Y0.74Ca0.16Sr1.1Ba1Cu2.78S0.22O7,7,75.1
Y0.74Ca0.16Sr0.6Ba1.5Cu2.78S0.22O7,7,77.9
Y0.84Sr2.16Cu2.78S0.22O7,5,45.0
Y0.84Sr1.16Ba1Cu2.78S0.22O7,6,78.1
Ca0.9Sr2.1Cu2C0.75O,5,92.0
Y0.7Ca0.3Sr2Cu2.8P0.2O0.8,6,37.0
Y1Ba1Sr1Cu2.8P0.2O4,6,47.0
Y0.7Ca0.3Ba1Sr1Cu2.8P0.2O0.8,7,68.0
Hg0.75Ba2.07Ca2.07Cu3.11O8.15,5,134.7
Hg0.75Ba2.07Ca2.07Cu3.11O8.16,5,134.2
Hg0.75Ba2.07Ca2.07Cu3.11O8.187,5,135.4
Hg0.75Ba2.07Ca2.07Cu3.11O8.208,5,135.8
Hg0.75Ba2.07Ca2.07Cu3.11O8.223,5,133.4
Hg0.92Ba2.05Cu1.03O4.05,4,93.8
Hg0.92Ba2.05Cu1.03O4.058,4,92.1
Hg0.92Ba2.05Cu1.03O4.062,4,96.5
Hg0.92Ba2.05Cu1.03O4.063,4,93.4
Hg0.92Ba2.05Cu1.03O4.065,4,91.6
Hg0.92Ba2.05Cu1.03O4.079,4,79.2
Hg0.92Ba2.05Cu1.03O4.087,4,70.3
Hg0.92Ba2.05Cu1.03O4.103,4,63.6
Bi2Sr2Ca1Cu1.5K0.5O8,6,85.0
Hg0.97Re0.03Ba2Ca2Cu3O8,6,130.0
Hg0.9Re0.1Ba2Ca1Cu2O6,6,120.0
Bi2Sr1.7Hg0.3Ca1Cu2O,6,72.5
Bi2Sr1.7Hg0.3Ca1Cu2O,6,81.0
Bi2Sr1.7Hg0.3Ca2Cu3O,6,74.5
Bi2Sr1.7Hg0.3Ca2Cu3O,6,111.0
Ga1Sr1.8Ca0.2Yb0.78Ca0.42Cu2O,6,20.0
Ga1Sr1.8Ca0.2Yb0.75Ca0.45Cu2O,6,52.0
La1Ba2Cu3O,4,70.3
La1Ba2Cu2.97Fe0.03O,5,55.2
La1Ba2Cu2.9Fe0.1O,5,10.0
Y1Ba2Cu4O8,4,77.0
Y1Ba2Cu3.975Fe0.025O8,5,66.0
Y1Ba2Cu3.95Fe0.05O8,5,51.0
Y1Ba2Cu3.925Fe0.075O8,5,35.0
Y1Ba2Cu3.9Fe0.1O8,5,10.0
Y2Ba4Cu7O15,4,80.0
Y2Ba4Cu7F0.6O,5,40.0
Y2Ba4Cu7F1.2O,5,56.0
Y2Ba4Cu7F1.7O,5,62.0
La0.75Nd0.25Ba1Ca1Cu3O7,6,55.0
Nd1Ba1Ca1Cu3O7,5,33.0
La0.75Sm0.25Ba1Ca1Cu3O7,6,71.0
La0.5Sm0.5Ba1Ca1Cu3O7,6,66.0
La0.25Sm0.75Ba1Ca1Cu3O7,6,65.0
La0.8Pr0.2Ba1Ca1Cu3O7,6,52.0
La0.6Pr0.6Ba1Ca1Cu3O7,6,28.0
La0.4Pr0.4Ba1Ca1Cu3O7,6,14.0
La1.82Ca1.18Cu2O6,4,55.0
La0.75Dy0.25Ba1Ca1Cu3O7,6,56.0
La0.5Dy0.5Ba1Ca1Cu3O7,6,55.0
La0.25Dy0.75Ba1Ca1Cu3O7,6,59.0
Y0.9Pr0.1Ba2Cu4O8,5,66.0
Y0.8Pr0.2Ba2Cu4O8,5,60.0
Y0.6Pr0.4Ba2Cu4O8,5,54.0
Y0.5Pr0.5Ba2Cu4O8,5,50.0
Y0.4Pr0.6Ba2Cu4O8,5,40.0
Y0.3Pr0.7Ba2Cu4O8,5,20.0
Y2Ba4Cu7O15,4,84.0
Y1.8Pr0.2Ba4Cu7O15,5,70.0
Y1.6Pr0.4Ba4Cu7O15,5,74.0
Y1.4Pr0.6Ba4Cu7O15,5,63.0
Y1.2Pr0.8Ba4Cu7O15,5,57.0
Y1Pr1Ba4Cu7O15,5,44.0
Y0.8Pr1.2Ba4Cu7O15,5,33.0
Y0.6Pr1.4Ba4Cu7O15,5,10.0
Y1Ba2Cu3O6.765,4,75.8
Y1Ba2Cu3H0.1O6.765,5,73.0
Y1Ba2Cu3H0.24O6.765,5,68.0
Y1Ba2Cu3O6.795,4,82.5
Y1Ba2Cu3H0.1O6.795,5,75.0
Y1Ba2Cu3H0.2O6.795,5,72.5
Cu0.25Tl0.75Ba2Ca2Cu3O11,5,108.0
Cu0.25Tl0.75Ba2Ca2Cu3O11,5,121.0
Cu0.25Tl0.75Ba2Ca2Cu3O11,5,117.0
Cu0.75Ti0.25Sr2Y1.3Ce0.7Cu2O8.71,6,21.0
Cu0.75V0.25Sr2Y1.3Ce0.7Cu2O8.77,6,24.5
Cu0.75Cr0.25Sr2Y1.3Ce0.7Cu2O8.87,6,8.0
Cu0.75Co0.25Sr2Y1.3Ce0.7Cu2O8.43,6,24.0
Cu0.75Ga0.25Sr2Y1.3Ce0.7Cu2O8.6,6,12.0
Cu0.75Ge0.25Sr2Y1.3Ce0.7Cu2O8.59,6,17.5
Cu0.75Ce0.25Sr2Y1.3Ce0.7Cu2O8.91,5,10.0
Cu0.75W0.25Sr2Y1.3Ce0.7Cu2O8.81,6,31.5
Cu0.75Re0.25Sr2Y1.3Ce0.7Cu2O9.06,6,33.5
Cu0.75Mo0.25Sr2Y1.3Ce0.7Cu2O,6,40.0
Cu0.85Re0.15Sr2Y1.5Ce0.5Cu2O,6,43.0
Bi1.6Pb0.4Sr2Eu1.65Ce0.35Cu2O,7,31.5
Bi1.55Pb0.45Sr2Eu1.65Ce0.35Cu2O,7,33.0
Bi1.5Pb0.5Sr2Eu1.65Ce0.35Cu2O,7,33.0
Bi1.45Pb0.55Sr2Eu1.65Ce0.35Cu2O,7,34.0
Bi1.4Pb0.6Sr2Eu1.65Ce0.35Cu2O,7,35.0
Bi1.3Pb0.7Sr2Eu1.65Ce0.35Cu2O,7,37.0
Bi1.2Pb0.8Sr2Eu1.65Ce0.35Cu2O,7,38.5
Bi1.1Pb0.9Sr2Eu1.65Ce0.35Cu2O,7,38.0
Cu6.5Sr2Ca5Cr0.5O15.17,5,32.0
Cu7.5Sr2Ca6Cr0.5O17.1,5,10.0
Cu2.5Sr2Ca1Cr0.5O7.5,5,81.0
Cu3.5Sr2Ca2Cr0.5O9.55,5,103.0
Cu4.5Sr2Ca3Cr0.5O11.45,5,71.0
Cu5.5Sr2Ca4Cr0.5O13.35,5,65.0
La1Ba1.5Sr0.5Cu3O7,5,52.4
Nd1Ba1.5Sr0.5Cu3O7,5,56.4
Sm1Ba1.5Sr0.5Cu3O7,5,70.7
Eu1Ba1.5Sr0.5Cu3O7,5,76.8
Gd1Ba1.5Sr0.5Cu3O7,5,85.6
Dy1Ba1.5Sr0.5Cu3O7,5,86.5
Ho1Ba1.5Sr0.5Cu3O7,5,86.8
Y1Ba1.5Sr0.5Cu3O7,5,87.4
Tl1Sr2Ba2Cu2C2.7N0.3O7,7,49.0
Tl1Sr2Ba2Cu2C2.4N0.6O7,7,49.0
Tl0.5Pb0.5Sr4Cu2C0.9N0.1O7,7,76.0
Tl0.5Pb0.5Sr4Cu2C0.7N0.3O7,7,70.0
Tl0.5Pb0.5Sr4Cu2C0.5N0.5O7,7,70.0
Tl0.78Bi0.22Sr1.6Ba0.4Ca2Cu3O9,7,108.0
Hg0.7Cr0.3Sr2Cu1O4,5,63.0
Hg1Ba2Cu1O4.08,4,96.0
Bi2Sr2Ca1Cu1.4K0.6O8,6,85.0
Bi2Sr2Ca1Cu1.3K0.7O8,6,87.0
Bi2Sr2Ca1Cu1.2K0.8O8,6,93.0
Bi2Sr2Ca1Cu2O8.218,5,70.0
Hg1Ba2Cu1O4.049,4,70.0
Hg1Ba2Cu1O4.055,4,78.2
Hg1Ba2Cu1O4.066,4,88.5
Hg1Ba2Cu1O4.096,4,95.6
Hg1Ba2Cu1O4.097,4,95.3
Hg1Ba2Cu1O4.1,4,94.1
Hg1Ba2Cu1O4.101,4,93.4
Hg1Ba2Cu1O4.103,4,92.5
Hg1Ba2Cu1O4.105,4,90.9
Hg1Ba2Cu1O4.108,4,89.1
Bi1.6Pb0.4Sr2Cu3Ca2O10.13,6,102.0
Bi1.6Pb0.4Sr2Cu3Ca2O10.11,6,84.0
Bi1.6Pb0.4Sr2Cu3Ca2O10.08,6,60.0
Bi1.6Pb0.4Sr2Cu3Ca2O10.04,6,45.0
Y1Ba2Cu3Li0.02O7,5,89.3
Y1Ba2Cu3Li0.02O7,5,89.1
Y1Ba2Cu3Li0.02O7,5,89.4
Y1Ba2Cu3Li0.02O7,5,88.3
Y1Ba2Cu3Li0.06O7,5,87.1
Y1Ba2Cu3Li0.06O7,5,86.7
Y1Ba2Cu3Li0.06O7,5,88.8
Y1Ba2Cu3Li0.06O7,5,86.8
Bi1.6Pb0.4Sr2Ca2Cu3O10.34,6,67.1
Bi1.6Pb0.4Sr2Ca2Cu3O10.24,6,73.3
Bi1.6Pb0.4Sr2Ca2Cu3O10.15,6,97.0
Bi1.6Pb0.4Sr2Ca2Cu3O10.07,6,102.3
Bi1.6Pb0.4Sr2Ca2Cu3O9.91,6,104.4
Bi1.8Pb0.2Sr2Ca1Cu2O8,6,67.0
Bi1.8Pb0.2Sr2Ca1Cu2O8,6,78.0
Bi1.8Pb0.2Sr2Ca1Cu2O8,6,89.0
Bi1.8Pb0.2Sr2Ca1Cu2O8,6,92.0
Bi1.8Pb0.2Sr2Ca1Cu2O8,6,91.0
Bi1.8Pb0.2Sr2Ca1Cu2O8,6,87.0
Bi1.8Pb0.2Sr2Ca1Cu2O8,6,81.0
Bi1.8Pb0.2Sr2Ca1Cu2O8,6,70.0
Ba0.6K0.4Bi1O3,4,31.0
Ba0.66K0.34Bi1O3,4,30.0
Ba0.76K0.24Bi1O3,4,28.0
Ba0.83K0.17Bi1O3,4,20.0
Y0.8Pr0.2Ba2Cu3O7,5,65.0
Y0.7Pr0.2Cd0.1Ba2Cu3O7,6,59.0
Y0.5Pr0.2Cd0.3Ba2Cu3O7,6,42.0
Y0.5Pr0.2Cd0.2Ca0.1Ba2Cu3O7,7,54.0
Y0.5Pr0.2Cd0.1Ca0.2Ba2Cu3O7,7,68.0
Y0.5Pr0.2Ca0.3Ba2Cu3O7,6,74.0
Y1Ba2Cu3O6.96,4,92.3
Y0.975Ca0.025Ba2Cu3O6.95,5,91.5
Y0.95Ca0.05Ba2Cu3O6.94,5,88.2
Y0.925Ca0.075Ba2Cu3O6.93,5,86.3
Y0.9Ca0.1Ba2Cu3O6.93,5,83.3
Y0.85Ca0.15Ba2Cu3O6.9,5,79.0
Y0.8Ca0.2Ba2Cu3O6.89,5,78.2
Y1Ba2Cu3O6.73,4,63.7
Y0.975Ca0.025Ba2Cu3O6.72,5,70.8
Y0.95Ca0.05Ba2Cu3O6.7,5,72.0
Y0.925Ca0.075Ba2Cu3O6.68,5,75.1
Y0.9Ca0.1Ba2Cu3O6.66,5,80.0
Y0.85Ca0.15Ba2Cu3O6.58,5,80.6
Y0.8Ca0.2Ba2Cu3O6.53,5,80.9
Ba0.65K0.35Bi1O3,4,30.0
Ba0.55K0.45Bi1O3,4,30.0
Cu0.5C0.5Sr2Ca1Cu2O7,5,90.0
Cu0.5C0.5Sr2Ca1Cu5O10.8,5,41.0
Cu0.5N0.25C0.25Sr2Ca2Cu3O,6,90.0
Cu0.5N0.25C0.25Sr2Ca3Cu4O,6,113.0
Cu0.5N0.25C0.25Sr2Ca4Cu5O,6,65.0
Cu0.5N0.25C0.25Sr2Ca5Cu6O,6,52.0
Hg1Ba2Ca2Cu3O8,5,107.0
Hg1Ba2Ca2Cu3O8,5,118.0
B0.7C0.3Ba1.5Sr0.5Ca2Cu3O,7,117.65
B0.65C0.35Ba1.4Sr0.6Ca2Cu3O,7,119.6
Bi2Sr2Ca1Cu2O,5,86.3
Bi2Sr2Ca0.65Pr0.35Cu2O,6,69.4
Bi2Sr2Ca0.55Pr0.45Cu2O,6,47.5
Bi2Sr2Ca0.46Pr0.54Cu2O,6,31.4
Bi2Sr2Ca0.4Pr0.6Cu2O,6,0.4
Ba0.63K0.37Bi1O3,4,29.0
Ba0.59K0.41Bi1O3,4,31.0
Ba0.6K0.4Bi1O3,4,31.4
Ba0.62K0.38Bi1O3.1,4,29.5
Ba0.63K0.37Bi1O3,4,32.0
Ba0.5K0.5Bi1O3,4,15.5
Ba0.54K0.46Bi1O3,4,18.0
Ba0.6K0.4Bi1O3,4,30.8
Ba0.51K0.49Bi1O3,4,17.2
Ba0.65K0.35Bi1O3,4,31.8
Eu1Ba1Sr1Cu3O6.95,5,84.0
Eu1Ba1Sr0.9Ca0.1Cu3O6.95,6,81.0
Eu1Ba1Sr0.8Ca0.2Cu3O6.95,6,75.0
Eu1Ba1Sr0.7Ca0.3Cu3O6.95,6,75.0
Gd1Ba2Cu4O8,4,77.0
Gd1Ba1.9Sr0.1Cu4O8,5,77.0
Gd1Ba1.8Sr0.2Cu4O8,5,77.0
Ho1Ba2Cu4O8,4,82.0
Ho1Ba1.8Sr0.2Cu4O8,5,82.0
Ho1Ba1.6Sr0.4Cu4O8,5,82.0
Y1Ba2Cu3Co0.1O,5,91.0
Y1Ba2Cu2.9O,4,74.0
Tl1Sr2Ba2Cu2C0.9N0.1O10,7,61.0
Tl1Sr2Ba2Cu2C0.9N0.1O10,7,43.0
Tl1Sr2Ba2Cu2C0.8N0.2O10,7,61.0
Tl1Sr2Ba2Cu2C0.8N0.2O10,7,49.0
Pb0.5Tl0.5Sr4Cu2C0.9N0.1O10,7,40.0
Pb0.5Tl0.5Sr4Cu2C0.9N0.1O10,7,76.0
Pb0.5Tl0.5Sr4Cu2C0.7N0.3O10,7,28.0
Pb0.5Tl0.5Sr4Cu2C0.7N0.3O10,7,70.0
Pb0.5Tl0.5Sr4Cu2C0.5N0.5O10,7,24.0
