Environment,Material Group,Material Family,Material,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,Localized Attack,UNS,Condition/Comment,Concentration (Vol %),Temperature (deg C),Temperature (deg F),Duration,Reference #,Reference,rate_mm_yr_numeric,rate_letter_grade
Citric Acid,Refractory metals and alloys,Zirconium and alloys,Zr702,0.13 max,5 max,,R60702,,50,Boiling,Boiling,,15.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 711-715",0.13,
Citric Acid,Refractroy metals and alloys,Zirconium and alloys,Zr702,0.025 max,1 max,,R60702,,10,100,212,,15.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 711-715",0.025,
Citric Acid,Refractroy metals and alloys,Zirconium and alloys,Zr702,0.025 max,1 max,,R60702,,25,100,212,,15.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 711-715",0.025,
Citric Acid,Refractroy metals and alloys,Zirconium and alloys,Zr702,0.025 max,1 max,,R60702,,50,100,212,,15.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 711-715",0.025,
Citric Acid,Stainless steels,Austenitic,301,A (Resistant),A (Resistant),,S30100,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,301,A (Resistant),A (Resistant),,S30100,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,301,A (Resistant),A (Resistant),,S30100,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,301,A (Resistant),A (Resistant),,S30100,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,301,A (Resistant),A (Resistant),,S30100,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,301,C (Questionable),C (Questionable),,S30100,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,301,A (Resistant),A (Resistant),,S30100,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,301,C (Questionable),C (Questionable),,S30100,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,301,B (Good),B (Good),,S30100,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,302,A (Resistant),A (Resistant),,S30200,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,302,A (Resistant),A (Resistant),,S30200,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,302,A (Resistant),A (Resistant),,S30200,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,302,A (Resistant),A (Resistant),,S30200,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,302,A (Resistant),A (Resistant),,S30200,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,302,C (Questionable),C (Questionable),,S30200,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,302,A (Resistant),A (Resistant),,S30200,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Ferritic,405,B (Good),B (Good),,S40500,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,302,C (Questionable),C (Questionable),,S30200,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,302,B (Good),B (Good),,S30200,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,303,A (Resistant),A (Resistant),,S30300,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,303,A (Resistant),A (Resistant),,S30300,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,303,B (Good),B (Good),,S30300,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,303,A (Resistant),A (Resistant),,S30300,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,303,B (Good),B (Good),,S30300,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,303,A (Resistant),A (Resistant),,S30300,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,303,C (Questionable),C (Questionable),,S30300,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,303,A (Resistant),A (Resistant),,S30300,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,303,B (Good),B (Good),,S30300,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,303,A (Resistant),A (Resistant),,S30300,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,303,D (Poor),D (Poor),,S30300,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,D
Citric Acid,Stainless steels,Austenitic,303,C (Questionable),C (Questionable),,S30300,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,303,B (Good),B (Good),,S30300,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,303,A (Resistant),A (Resistant),,S30300,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,303,D (Poor),D (Poor),,S30300,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,D
Citric Acid,Stainless steels,Austenitic,303,C (Questionable),C (Questionable),,S30300,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,303,B (Good),B (Good),,S30300,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,303,B (Good),B (Good),,S30300,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,304,0.01,0.4,,S30400,,20,Boiling,Boiling,24 h,52.0,"R.M. Davidson and J.D. Redmond, The Application of Ferritic and Duplex Stainless Steels, Second Symposium on Shell and Tube Heat Exchangers, W.R. Apblett, Jr., Ed., American Society for Metals, Metals Park, OH, 1982, p 82",0.01,
Citric Acid,Stainless steels,Austenitic,304,B (Good),B (Good),,S30400,,10,21,70,,121.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",,B
Citric Acid,Stainless steels,Austenitic,304,B (Good),B (Good),,S30400,,10,Boiling,Boiling,,121.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",,B
Citric Acid,Stainless steels,Austenitic,304,B (Good),B (Good),,S30400,,50,21,70,,121.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",,B
Citric Acid,Stainless steels,Austenitic,304,D (Poor),D (Poor),,S30400,,50,Boiling,Boiling,,121.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",,D
Citric Acid,Stainless steels,Austenitic,304,0.21,8.3,,S30400,,10,99-102,210-215,,87.0,"Metals Handbook, Ninth Edition, Vol 3, Properties and Selection: Stainless Steels, Tool Materials and Special-Purpose Metals, American Society for Metals, Metals Park, OH, 1980, p 82",0.21,
Sulfuric Acid,Nickel and alloys,Nickel,Nickel 200,,,,N02200,"Air-saturated Velocity, none",20,21,70,,44.0,"Inco Alloys International, 1979",,
Citric Acid,Stainless steels,Austenitic,304,A (Resistant),A (Resistant),,S30400,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304,A (Resistant),A (Resistant),,S30400,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304,A (Resistant),A (Resistant),,S30400,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304,A (Resistant),A (Resistant),,S30400,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304,A (Resistant),A (Resistant),,S30400,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304,C (Questionable),C (Questionable),,S30400,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,304,A (Resistant),A (Resistant),,S30400,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304,C (Questionable),C (Questionable),,S30400,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,304,B (Good),B (Good),,S30400,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,304L,A (Resistant),A (Resistant),,S30403,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304L,A (Resistant),A (Resistant),,S30403,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304L,A (Resistant),A (Resistant),,S30403,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304L,A (Resistant),A (Resistant),,S30403,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304L,A (Resistant),A (Resistant),,S30403,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304L,C (Questionable),C (Questionable),,S30403,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,304L,A (Resistant),A (Resistant),,S30403,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304L,C (Questionable),C (Questionable),,S30403,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,304L,B (Good),B (Good),,S30403,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,304LN,A (Resistant),A (Resistant),,S30453,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304LN,A (Resistant),A (Resistant),,S30453,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304LN,A (Resistant),A (Resistant),,S30453,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304LN,A (Resistant),A (Resistant),,S30453,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304LN,A (Resistant),A (Resistant),,S30453,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304LN,C (Questionable),C (Questionable),,S30453,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,304LN,A (Resistant),A (Resistant),,S30453,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,304LN,C (Questionable),C (Questionable),,S30453,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,304LN,B (Good),B (Good),,S30453,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,316,0.0125,0.5,,S31600,,20,Boiling,Boiling,24 h,52.0,"R.M. Davidson and J.D. Redmond, The Application of Ferritic and Duplex Stainless Steels, Second Symposium on Shell and Tube Heat Exchangers, W.R. Apblett, Jr., Ed., American Society for Metals, Metals Park, OH, 1982, p 82",0.0125,
Citric Acid,Stainless steels,Austenitic,316,B (Good),B (Good),,S31600,,10,21,70,,121.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",,B
Citric Acid,Stainless steels,Austenitic,316,B (Good),B (Good),,S31600,,10,Boiling,Boiling,,121.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",,B
Citric Acid,Stainless steels,Austenitic,316,B (Good),B (Good),,S31600,,50,21,70,,121.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",,B
Citric Acid,Stainless steels,Austenitic,316,B (Good),B (Good),,S31600,,50,Boiling,Boiling,,121.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",,B
Citric Acid,Stainless steels,Austenitic,316,0.013,0.5,,S31600,,10,99-102,210-215,,87.0,"Metals Handbook, Ninth Edition, Vol 3, Properties and Selection: Stainless Steels, Tool Materials and Special-Purpose Metals, American Society for Metals, Metals Park, OH, 1980, p 82",0.013,
Citric Acid,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316,B (Good),B (Good),,S31600,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316F,A (Resistant),A (Resistant),,S31620,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316F,A (Resistant),A (Resistant),,S31620,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316F,A (Resistant),A (Resistant),,S31620,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316F,A (Resistant),A (Resistant),,S31620,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316F,A (Resistant),A (Resistant),,S31620,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316F,C (Questionable),C (Questionable),,S31620,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,316F,A (Resistant),A (Resistant),,S31620,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316F,C (Questionable),C (Questionable),,S31620,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,C
Citric Acid,Stainless steels,Austenitic,316F,B (Good),B (Good),,S31620,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,316L,A (Resistant),A (Resistant),,S31603,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316L,A (Resistant),A (Resistant),,S31603,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316L,A (Resistant),A (Resistant),,S31603,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316L,A (Resistant),A (Resistant),,S31603,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316L,A (Resistant),A (Resistant),,S31603,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316L,A (Resistant),A (Resistant),,S31603,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316L,A (Resistant),A (Resistant),,S31603,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316L,B (Good),B (Good),,S31603,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,316L,A (Resistant),A (Resistant),,S31603,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316LN,A (Resistant),A (Resistant),,S31653,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316LN,A (Resistant),A (Resistant),,S31653,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316LN,A (Resistant),A (Resistant),,S31653,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316LN,A (Resistant),A (Resistant),,S31653,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316LN,A (Resistant),A (Resistant),,S31653,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316LN,A (Resistant),A (Resistant),,S31653,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316LN,A (Resistant),A (Resistant),,S31653,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316LN,B (Good),B (Good),,S31653,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,316LN,A (Resistant),A (Resistant),,S31653,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316Ti,A (Resistant),A (Resistant),,S31635,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316Ti,A (Resistant),A (Resistant),,S31635,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316Ti,A (Resistant),A (Resistant),,S31635,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316Ti,A (Resistant),A (Resistant),,S31635,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316Ti,A (Resistant),A (Resistant),,S31635,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316Ti,A (Resistant),A (Resistant),,S31635,,25,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316Ti,A (Resistant),A (Resistant),,S31635,,50,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,316Ti,B (Good),B (Good),,S31635,,50,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,B
Citric Acid,Stainless steels,Austenitic,316Ti,A (Resistant),A (Resistant),,S31635,3 bar,5%,140,284,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Sulfuric Acid,Nickel and alloys,Nickel,Nickel 200,,,,N02200,"Unaerated Velocity, 26.0 fpm",25,82,180,,44.0,"Inco Alloys International, 1979",,
Citric Acid,Stainless steels,Austenitic,317L,A (Resistant),A (Resistant),,S31703,,1,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,317L,A (Resistant),A (Resistant),,S31703,,1,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,317L,A (Resistant),A (Resistant),,S31703,,10,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,317L,A (Resistant),A (Resistant),,S31703,,10,Boiling,Boiling,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
Citric Acid,Stainless steels,Austenitic,317L,A (Resistant),A (Resistant),,S31703,,25,20,68,,253.0,"Chemical Resistance of REMANIT Stainless Steels, Thyssen Edelstahlwerke AG, March 1989",,A
